school,state,region
University of San Diego,CA,West
University of San Francisco,CA,West
University of South Carolina,SC,Southeast
University of South Florida,FL,Southeast
University of Southern California,CA,West
University of Tennessee Knoxville,TN,Southeast
University of Texas at Austin,TX,Southwest
University of Texas at Dallas,TX,Southwest
University of Utah,UT,West
University of Vermont,VT,Northeast
University of Virginia Main Campus,VA,Southeast
University of Washington Seattle Campus ,WA,West
University of Wisconsin Madison,WI,Midwest
Ursinus College,PA,Northeast
Vanderbilt University,TN,Southeast
Vassar College,NY,Northeast
Villanova University,PA,Northeast
Virginia Commonwealth University,VA,Southeast
Virginia Polytechnic Institute and State University,VA,Southeast
Wake Forest University,NC,Southeast
Washington and Lee University,VA,Southeast
Wellesley College,MA,Northeast
Wesleyan University,CT,Northeast
Wheaton College IL,IL,Midwest
Wheaton College MA,MA,Northeast
Whitman College,WA,West
Willamette University,OR,West
Williams College,MA,Northeast
Worcester Polytechnic Institute,MA,Northeast
Yale University,CT,Northeast
Yeshiva University,NY,Northeast
Georgia College & State University,GA,Southeast
Hobart and William Smith Colleges,NY,Northeast
University of Minnesota - Twin Cities Campus,MN,Midwest
